 baseMean log2FoldChange lfcSE stat pvalue padj evalue positive pch
YNL008C 1359.11221874176 -2.33337198302335 0.0968172256319846 -24.1007937150855 2.4522663936317e-128 1.53830670872516e-124 1.53855193536453e-124 TRUE 3
YPL242C 957.739536827039 -2.43426409269723 0.111452146172293 -21.8413388732248 9.39611960252585e-106 2.94709291333223e-102 5.89512543862472e-102 TRUE 3
YPL223C 1076.92233470224 -1.96909668476971 0.102451273232648 -19.2198361488222 2.52566300386838e-82 5.28116134108879e-79 1.58460096862702e-78 TRUE 3
YBR208C 6758.06699905646 -1.66502340827069 0.0868502361501077 -19.1712018536478 6.44035846442517e-82 1.01000921618348e-78 4.04068090058035e-78 TRUE 3
YPL155C 668.828303015716 -2.0364325651785 0.110807271791117 -18.3781491256041 1.96561752122422e-75 2.46606374212791e-72 1.23322843281608e-71 TRUE 3
YER069W 2665.02751689439 -2.05392438724916 0.114141230620343 -17.9945877233524 2.14814753064515e-72 2.2458882432895e-69 1.34774776072676e-68 TRUE 3
YHR136C 306.83317637738 -3.17719983162053 0.176878165779671 -17.9626457432752 3.82150495838798e-72 3.4246143719954e-69 2.39761221089262e-68 TRUE 3
YPR115W 1183.87202029058 -1.77201112711717 0.099684579551645 -17.7761809809221 1.08097199701851e-70 8.47617167162137e-68 6.78201830929412e-67 TRUE 3
YDL171C 7616.81996789356 -1.76677774741818 0.100192830426254 -17.6337741922423 1.35605179369577e-69 9.45168100205955e-67 8.50786895364729e-66 TRUE 3
YLL024C 2329.49851009355 -2.49377997149388 0.146546631724155 -17.0169722917134 6.14679923152948e-65 3.85588715793844e-62 3.85650183786159e-61 TRUE 3
YFL030W 1730.15650146273 1.56301305322144 0.0934326831645741 16.7287612886844 8.09034161237822e-63 4.61370117585896e-60 5.07588032760609e-59 TRUE 3
YML059C 898.681386160243 -2.0139990458569 0.121156971548889 -16.6230553645376 4.74514616109791e-62 2.48052515571393e-59 2.97710470147283e-58 TRUE 3
YLR399C 2242.54121195089 -1.5493764181836 0.0938929646581572 -16.5015176996969 3.57785860771824e-61 1.7264543881705e-58 2.24474849048242e-57 TRUE 3
YFL014W 10986.9713327295 -1.65171164177941 0.103516853895758 -15.9559683241792 2.58926336924347e-57 1.16017493680459e-54 1.62450383786336e-53 TRUE 3
YNL009W 680.774890460721 -1.95014470674228 0.125444948021739 -15.5458209955519 1.69832203414466e-54 7.10238274679295e-52 1.06552724422236e-50 TRUE 3
YBR222C 2941.82054425927 -1.40087683358935 0.0929084492067337 -15.078034834832 2.25892921494545e-51 8.85641435334552e-49 1.41725218945678e-47 TRUE 3
YLR167W 1179.83613001542 -1.70948185614822 0.113645313878174 -15.0422555740465 3.88097737229455e-51 1.43208065037669e-48 2.4349252033776e-47 TRUE 3
YLL026W 2434.57590079604 -1.42758232707206 0.0953356797544433 -14.9742712355867 1.08146784412064e-50 3.76891543676044e-48 6.78512925401292e-47 TRUE 3
YER072W 867.229854853716 -1.65409697786186 0.11103989963328 -14.896419965478 3.4771802757194e-50 1.14801851945199e-47 2.18158290498635e-46 TRUE 3
YCL030C 704.066780185977 -1.86005875674999 0.125854007061938 -14.7794957043726 1.98647948541118e-49 6.23059290599215e-47 1.24631722914697e-45 TRUE 3
YLL039C 11430.4866730393 -1.19143369002655 0.0815020254881701 -14.6184549756925 2.14206314132023e-48 6.39864861214372e-46 1.34393041486431e-44 TRUE 3
YDR040C 693.652670668858 -1.76641953126835 0.121004914848249 -14.5979155762689 2.89563937865511e-48 8.25652082831978e-46 1.81672414616822e-44 TRUE 3
YKL109W 993.312233183677 1.51617552960313 0.10516785160918 14.4167205700604 4.06189059983625e-47 1.10783651012056e-44 2.54843016233726e-43 TRUE 3
YJR045C 2531.1954413888 -1.23179788022316 0.0862142106685279 -14.2876431932911 2.61303865219348e-46 6.82982977717071e-44 1.63942045038619e-42 TRUE 3
YBL030C 6544.39695493666 1.17939746828552 0.0830086429459801 14.2081285325076 8.1576548529357e-46 1.96819111124868e-43 5.11811265473186e-42 TRUE 3
YML123C 1994.42133500285 -2.20420071310009 0.155108669117927 -14.2106867761483 7.86503752363749e-46 1.96819111124868e-43 4.93452454233016e-42 TRUE 3
YPL019C 1000.58104097641 -1.82116584844062 0.129750490653954 -14.0359072190154 9.39859435248732e-45 2.18360675456122e-42 5.89667809675055e-41 TRUE 3
YMR096W 1203.11050670294 -1.68541251083509 0.120175613568237 -14.0245800357665 1.10262921954357e-44 2.47028324792744e-42 6.91789572341638e-41 TRUE 3
YCR024C-B 2004.85942168389 -1.24597052355129 0.0890325413015038 -13.9945519395193 1.68286924125885e-44 3.6402202587644e-42 1.0558321619658e-40 TRUE 3
YKR005C 3309.79396883573 1.58214778198229 0.113409097779159 13.9508012405072 3.11090744201152e-44 6.5049074612461e-42 1.95178332911803e-40 TRUE 3
YKR034W 595.885531755897 -1.78501917032253 0.129542816156706 -13.779375987652 3.39191358626596e-43 6.86370126666011e-41 2.12808658402326e-39 TRUE 3
YJL130C 1979.51056286296 -1.36633179816512 0.0992528279235834 -13.7661749972211 4.07209314890738e-43 7.9825751009675e-41 2.55483124162449e-39 TRUE 3
YBR054W 444.414286399349 2.19133208011878 0.159325701658125 13.7537889826517 4.83305789956403e-43 9.18720369817127e-41 3.03226052618648e-39 TRUE 3
YDR534C 464.243822502644 2.9064932313237 0.211872876071477 13.7180996700266 7.91118189657936e-43 1.45961305991889e-40 4.96347552191389e-39 TRUE 3
YGR233C 812.409786557811 -1.41498744825385 0.103553925133912 -13.6642570180129 1.65989313178233e-42 2.97500274733445e-40 1.04141695088024e-38 TRUE 3
YLR075W 809.228150430941 -1.48311805409082 0.112162807911666 -13.2229041132676 6.47161377230354e-40 1.12767869982389e-37 4.06029048074324e-36 TRUE 3
YKL065W-A 345.982327225331 -2.17715532243872 0.164935818460939 -13.2000152711179 8.77172701629501e-40 1.48716333981672e-37 5.50338153002349e-36 TRUE 3
YIR031C 786.235755619192 -1.41406027526453 0.107847370385373 -13.1116806113273 2.82273149773655e-39 4.65973544350036e-37 1.77098174167991e-35 TRUE 3
YCR024C-A 1190.25300655591 -1.4175661017654 0.109036707971426 -13.0008153046668 1.21045879551448e-38 1.94697641647751e-36 7.59441848305782e-35 TRUE 3
YNR001C 18717.3194814385 1.0559651404617 0.0824400586285598 12.8088839094527 1.46222572550222e-37 2.29313549401886e-35 9.17400420180093e-34 TRUE 3
YMR191W 5799.34070503222 -1.09228861874288 0.0856038263758027 -12.7598106882245 2.7486827446799e-37 4.20548459936024e-35 1.72452355401217e-33 TRUE 3
YNL007C 1883.34477782225 -1.20121196408533 0.0946178531665489 -12.6954049778631 6.27047502397975e-37 9.36540233938689e-35 3.93409603004489e-33 TRUE 3
YBL015W 13451.7669306481 1.15276512787839 0.0912246456676851 12.6365536357105 1.32745970780725e-36 1.93654761559881e-34 8.3284822067827e-33 TRUE 3
YDL133C-A 1318.83442534206 -1.53040661498035 0.121581391623593 -12.5875069740802 2.47362963674973e-36 3.52660879802979e-34 1.55195523409678e-32 TRUE 3
YBR072W 222.362144475827 2.05969379960974 0.163967450707386 12.5616016515707 3.4331194693513e-36 4.78576854027571e-34 2.153939155071e-32 TRUE 3
YLR256W 1468.28796099515 -1.19646790471152 0.0968099287415834 -12.3589379753111 4.35877196010319e-35 5.94403837081028e-33 2.73469352776874e-31 TRUE 3
YBR148W 1042.52640993387 2.19869565435609 0.178156189985504 12.3413935521128 5.42094106983332e-35 7.235226240652e-33 3.40109842721342e-31 TRUE 3
YLL040C 2245.72226250023 -1.04783368957866 0.0863874554893277 -12.1294658309286 7.37287897509558e-34 9.63543121057804e-32 4.62574426897497e-30 TRUE 3
YHR165C 1184.43990669843 -1.25507656519322 0.104074696967675 -12.0593823644093 1.73075961227197e-33 2.21572551995552e-31 1.08587858073943e-29 TRUE 3
YMR062C 1329.13287227697 -1.26019744032251 0.104675213037662 -12.0391199000387 2.21304002544304e-33 2.77648001592083e-31 1.38846131196296e-29 TRUE 3
